Case #1: Impossible
Case #2: 67
7 10 67136
8 10 110951
13 6 139526
9 2 92770
13 9 48977
5 12 44608
4 5 127168
8 2 86950
4 1 131804
9 12 161025
5 2 23647
7 1 232334
12 10 130430
11 5 99260
6 2 95733
12 3 191638
12 8 107911
8 3 170554
11 8 35957
5 1 126670
7 5 107118
8 4 163064
2 7 129311
1 3 98005
4 13 70495
4 6 199254
11 13 93376
11 2 122907
11 12 143868
1 6 83827
11 4 127107
3 11 160906
4 2 114288
8 6 135389
9 8 178310
9 3 153271
11 6 171346
10 3 85912
2 12 68255
9 5 116417
7 9 134495
5 6 72086
13 10 18382
10 11 74994
3 7 153048
9 4 119472
13 8 129333
2 10 62175
11 7 7858
6 9 188503
8 1 189973
12 13 112048
1 2 103023
3 4 33799
5 10 85822
11 9 142353
9 1 195793
11 1 225930
7 12 151726
12 4 171776
7 4 119249
5 8 63303
13 7 85518
10 1 165198
2 3 148087
1 13 146816
10 9 67359
Case #3: 46
3 23 263687
21 19 878272
8 22 657881
25 6 98354
7 3 606780
9 14 587770
18 14 226428
4 7 604536
6 11 630286
8 10 187569
10 13 418798
20 4 391909
13 20 509867
5 20 689999
20 2 422618
1 2 393967
2 19 753973
15 24 518463
16 7 315018
13 19 841222
4 21 800980
24 11 624419
1 12 29800
23 14 123990
18 11 611807
12 3 519182
19 24 664769
14 7 284401
17 14 440210
23 21 328553
23 16 182909
2 24 89204
5 9 796047
6 5 655345
2 18 101816
10 22 470312
25 11 594303
6 21 544602
5 10 601685
17 18 213782
24 25 295116
18 6 318487
24 10 217121
12 17 583341
20 1 358281
25 15 765971
Case #4: Impossible
Case #5: 1
2 1 1000000
Case #6: 188
10 26 235168
10 22 330354
1 15 327276
19 22 112086
6 14 318825
32 25 277458
23 37 31628
21 12 152034
31 37 152087
21 30 133181
31 17 124539
8 2 581937
7 24 116563
36 10 173703
10 13 414751
15 5 240726
33 24 186312
37 29 315841
39 29 337138
37 11 128715
6 7 117761
33 37 204432
19 14 258393
26 25 287682
23 1 205453
2 34 346335
41 1 228026
31 29 366088
20 1 276299
39 15 174748
10 5 363999
1 22 200265
4 24 229408
22 21 172524
39 1 152528
42 34 219572
38 41 296546
38 6 413966
8 30 362570
21 13 138351
39 8 424604
37 3 79343
30 39 72217
41 29 249046
39 19 264457
38 8 628553
19 15 259922
32 7 119992
1 19 298667
4 5 40487
32 11 344625
17 14 278527
35 33 223517
32 34 189507
36 41 243332
40 10 266115
19 33 280945
28 2 426105
26 3 135428
32 42 359098
2 18 297156
38 39 404009
24 10 208767
1 40 266216
32 29 401468
35 36 254113
10 12 146074
27 7 37698
36 19 310329
6 40 123645
29 4 304496
34 9 378376
29 15 369112
41 3 7936
6 1 142571
3 10 284964
35 6 218198
20 22 175301
16 2 340045
41 7 32430
15 33 238117
24 25 141512
27 3 13204
9 2 586590
42 8 345031
23 17 121908
29 26 376538
16 10 299711
5 36 241143
8 20 311016
16 9 384666
11 5 59497
3 18 69686
19 37 214949
17 25 19321
30 36 159589
36 28 130099
22 37 102863
39 18 94210
21 36 254186
29 38 545592
16 12 184555
21 26 154218
26 42 350040
3 25 152254
11 15 300223
32 41 152422
19 42 130808
24 11 248418
17 5 216582
4 18 119362
16 31 93476
2 21 288242
19 24 208117
32 19 301114
17 24 122191
12 42 203180
5 2 235667
4 23 141333
4 8 319467
9 12 450382
13 19 341049
36 6 203179
16 38 372010
9 14 555042
35 18 183088
41 37 71407
39 28 118059
25 8 405263
7 26 175794
14 7 315910
4 15 281213
35 4 266613
6 22 197373
3 23 110971
11 6 223225
30 32 274749
37 9 380609
42 25 131621
25 33 327824
10 32 374816
31 33 283190
32 17 296779
33 5 135214
9 3 317138
11 36 300640
30 35 136024
24 12 225313
42 14 127585
15 32 288360
24 20 47265
13 9 436699
21 15 146792
15 37 201544
19 40 150769
4 37 109705
11 4 19010
