150
35 887
57 196 887
59 16 887
29 0 658
74 51 812
22 107 887
82 0 448
105 62 887
26 0 757
50 0 696
13 0 782
17 0 847
64 322 887
37 522 887
91 533 822
36 0 521
11 56 887
34 349 887
70 0 772
71 545 887
108 133 887
3 147 887
32 0 833
89 0 821
21 0 681
87 87 887
68 391 887
38 0 684
40 373 887
116 88 467
58 93 887
7 355 887
55 0 481
16 0 706
123 0 867
94 487 887
41 372
5 0 204
36 0 316
0 6 372
68 0 215
38 0 283
27 105 372
16 216 339
47 0 263
14 79 372
11 43 329
10 142 338
49 64 265
44 44 372
65 23 372
40 0 233
19 167 348
35 0 143
69 0 328
54 0 305
17 164 246
64 96 372
62 31 372
50 0 285
18 9 127
45 39 277
43 0 251
32 173 372
9 0 326
28 0 351
66 42 372
51 20 254
53 11 128
24 0 220
18 220 362
39 0 221
6 59 372
60 0 271
55 8 372
37 0 212
32 0 124
46 257 372
49 883
25 0 791
85 0 383
57 0 847
45 0 629
49 0 849
35 241 883
30 0 693
17 0 864
73 144 383
2 73 883
68 162 360
88 0 601
48 21 883
5 0 610
65 159 883
43 108 883
24 0 756
34 0 742
56 0 757
27 86 883
8 77 837
52 0 865
67 40 632
0 72 883
83 210 883
75 0 643
64 17 883
76 0 690
15 661 877
6 0 224
38 0 577
15 0 451
12 397 883
63 281 566
61 0 479
81 0 859
44 219 883
13 18 883
29 64 883
79 63 883
55 442 704
51 168 883
60 278 883
86 0 723
74 0 843
40 203 795
10 247 883
28 92 883
84 328 883
50 96508
100000 32882 93677
59922 43895 78779
48315 0 91466
32175 0 89598
28528 11643 96508
15318 0 25499
55353 27219 96508
54992 2942 96508
13887 16222 54956
10634 2916 96508
2102 0 24532
67776 30369 60023
41676 42268 96508
60835 44598 96508
37004 70274 95720
61534 75305 94960
44984 10510 96508
58581 28259 96508
27753 6216 32533
9541 1784 21778
59786 0 45375
93771 48077 96508
44584 0 55645
36499 29389 96508
79449 71921 91624
80255 2579 96508
15361 67731 96508
9466 0 90017
74756 0 75314
38462 0 69152
98631 0 34467
15935 47795 89829
36500 0 86218
88905 0 67419
41475 6323 96508
90840 49406 96508
18687 0 87227
11938 0 67274
28684 49605 96508
4507 0 62901
76550 67291 96508
26974 0 85833
68073 20815 96508
19986 60220 96508
47414 0 63611
87381 50744 96508
66492 0 61969
33838 8120 96508
79373 18549 96508
41142 0 52462
39 282
34 44 282
22 0 140
15 0 135
31 0 243
54 16 282
43 110 242
45 0 270
11 0 130
2 0 103
42 0 199
49 0 191
20 0 138
1 0 282
58 164 282
6 0 156
27 0 282
26 109 267
29 0 197
17 0 156
24 155 282
23 134 282
32 0 217
33 65 161
30 0 183
12 0 244
39 7 282
18 20 282
52 0 151
46 149 282
3 0 247
8 1 195
14 141 258
55 6 282
10 0 245
14 0 104
16 0 250
41 0 107
59 0 131
0 0 276
38 708
30 0 525
10 25 708
54 203 586
27 158 708
15 0 626
13 0 522
49 0 534
47 365 708
9 114 708
34 268 654
11 0 621
51 0 658
14 0 575
33 441 708
36 301 708
16 0 654
24 0 480
39 159 708
44 0 603
20 0 270
50 17 708
19 0 662
26 290 708
21 253 708
17 76 708
48 0 707
2 272 708
40 304 492
6 0 434
7 52 708
42 275 708
5 0 226
38 0 576
52 0 570
22 56 708
43 177 445
4 11 437
0 0 332
39 562
44 163 562
19 264 562
